 YEARMODA,   TEMP,PRCP  
19990206,74.5, 0.00I
19990207,72.8, 0.00I
19990208,76, 0.00I
19990209,79.5, 0.00I
19990210,83.3, 0.00I
19990211,82, 0.00I
19990212,79.6, 0.00I
19990213,87.1, 0.00I
19990214,85.7, 0.00I
19990215,89, 0.00I
19990216,85.2, 0.00I
19990217,86.6, 0.00I
19990218,85.3, 0.00I
19990219,82.2, 0.00I
19990220,82.6, 0.00I
19990221,82, 0.00I
19990222,82.8, 0.00I
19990223,85.4, 0.00I
19990224,86.6, 0.00I
19990225,85.9, 0.00I
19990226,87.6, 0.00I
19990227,90, 0.00I
19990228,91.3, 0.00I
19990301,90.6, 0.00I
19990302,91.2, 0.00I
19990303,91.2, 0.00I
19990304,90.6, 0.00I
19990305,90.4, 0.00I
19990306,90.2, 0.00I
19990307,89.8, 0.00I
19990308,90.2, 0.00I
19990309,91.1, 0.00I
19990310,89.8, 0.00I
19990311,89.3, 0.00I
19990312,86.5, 0.00I
19990313,83.5, 0.00I
19990314,89.2, 0.00I
19990315,92.3, 0.00I
19990316,90.7, 0.00I
19990318,98, 0.00I
19990319,92.3, 0.00I
19990320,91.5, 0.00I
19990321,93, 0.00I
19990322,92.4, 0.00I
19990323,92.4, 0.00I
19990324,94, 0.00I
19990325,93.2, 0.00I
19990326,93.3, 0.00I
19990327,92.3, 0.00I
19990328,91.4, 0.00I
19990329,93.7, 0.00I
19990330,93.5, 0.00I
19990331,93.8, 0.00I
19990401,94.9, 0.00I
19990402,87.6, 0.00I
19990403,92.1, 0.00I
19990404,93.4, 0.00I
19990405,90.9, 0.00I
19990406,80,99.99 
19990407,81.1, 0.00I
19990408,86.4, 0.00I
19990409,91.9, 0.00I
19990410,90.6, 0.00I
19990411,88.4, 0.00I
19990412,91.6, 0.00I
19990413,93, 0.00I
19990414,91.7, 0.00I
19990415,88.6, 0.00I
19990416,86.5, 0.00I
19990417,91.2, 0.00I
19990418,91, 0.00I
19990419,93.6, 0.00I
19990420,89.2, 0.00I
19990421,87.6, 0.00I
19990422,91.2, 0.00I
19990423,89.8, 0.00I
19990424,85.5, 0.00I
19990425,88.5, 0.00I
19990426,89.6, 0.00I
19990427,88.1, 0.00I
19990428,88.3, 0.00A
19990429,90.9, 0.00A
19990430,90.6, 0.00I
19990501,91.3, 0.00I
19990502,89.5, 0.00I
19990503,91.3, 0.00I
19990504,88.4, 0.00I
19990505,91.3, 0.00I
19990506,89.4, 0.00I
19990507,92.4, 0.00I
19990508,90.8, 0.00I
19990509,89.5, 0.00I
19990510,90.9, 0.00I
19990511,92.5, 0.00I
19990512,91.3, 0.00I
19990513,88.3, 0.00I
19990514,85.6, 0.00I
19990515,83.7, 0.00I
19990516,84.7, 0.00I
19990517,90.1, 0.00I
19990518,87.3,99.99 
19990519,85.1, 0.00I
19990520,87.6, 0.00I
19990521,87.1, 0.00I
19990522,89.4, 0.00I
19990523,88.8, 0.00I
19990524,80.2,99.99 
19990525,83, 0.00I
19990526,85.5, 0.00I
19990527,77.3,99.99 
19990528,82.4, 0.00I
19990529,86.2, 0.00I
19990530,85.7, 0.00I
19990531,85.4, 0.00I
19990601,94, 0.00I
19990602,91.1, 0.00I
19990603,83.9, 0.00I
19990604,85.6, 0.00I
19990605,83.8, 0.00I
19990606,85.9, 0.00I
19990607,91, 0.00I
19990608,87.9, 0.00I
19990609,88.6, 0.00I
19990610,86, 0.00I
19990611,85.5, 0.00I
19990612,86.5, 0.00I
19990613,90.7,99.99 
19990614,88.7, 0.00I
19990615,86.2, 0.00I
19990616,85.9, 0.00I
19990617,85.9,99.99 
19990618,82.6, 0.00I
19990619,85.1, 0.00I
19990620,85.7, 0.00I
19990621,84.2, 0.00I
19990622,86.4, 0.00I
19990623,85.9, 0.00I
19990624,78.9,99.99 
19990625,81.9, 0.00I
19990626,83.3, 0.00I
19990627,84, 0.00I
19990628,85, 0.00I
19990629,83.9, 0.00I
19990630,82.3, 0.00I
19990701,85.7, 0.00I
19990702,77.3,99.99 
19990703,80.8, 0.00I
19990704,77.1, 0.00I
19990705,82.3, 0.00I
19990706,85.5, 0.00I
19990707,76.6,99.99 
19990708,81.3, 0.00I
19990709,77.6, 0.00I
19990710,80.7, 0.00I
19990711,80.3, 0.00I
19990713,79.9,99.99 
19990714,74.7,99.99 
19990715,79.1, 0.00I
19990716,83.5, 0.00I
19990717,79.5,99.99 
19990718,82.7, 0.00I
19990719,78.1, 0.00I
19990720,77, 0.00I
19990721,80.6, 0.00I
19990722,80.8, 0.00I
19990723,80.7, 0.00I
19990724,79, 0.00I
19990725,77.2,99.99 
19990726,80.7, 0.00I
19990727,80.4,99.99 
19990729,79.5, 0.00I
19990730,79, 0.00I
19990731,77.7,99.99 
19990801,78.1,99.99 
19990802,77.1,99.99 
19990803,78, 0.00I
19990804,76.6,99.99 
19990805,79.3, 0.00I
19990807,77.1,99.99 
19990808,79.3,99.99 
19990809,76.9,99.99 
19990810,76.4, 0.00I
19990811,77.4,99.99 
19990812,78.9, 0.00I
19990813,78.1,99.99 
19990814,77, 0.00I
19990815,82.4,99.99 
19990817,79.1, 0.00I
19990818,77.1,99.99 
19990819,78.4,99.99 
19990820,76.6,99.99 
19990821,78.3, 0.00I
19990822,76.7,99.99 
19990823,77.3,99.99 
19990824,78.3, 0.00I
19990825,76.4, 0.00I
19990826,73.9,99.99 
19990827,76.8,99.99 
19990828,77.6, 0.00I
19990829,80.8, 0.00I
19990830,75.3, 0.00I
19990831,79.9, 0.00I
19990901,77.7, 0.00I
19990902,77.1,99.99 
19990903,81.9, 0.00I
19990904,74.7,99.99 
19990905,78.6, 0.00I
19990907,75.9,99.99 
19990908,79.4,99.99 
19990909,80.3, 0.00I
19990910,77.9,99.99 
19990911,76.4,99.99 
19990912,77.9, 0.00I
19990913,79, 0.00I
19990914,76.4, 0.08E
19990915,77.4, 0.35A
19990916,79.9, 0.00A
19990917,76.4, 0.59C
19990918,77.3, 0.00I
19990919,76.6, 0.00I
19990920,81.7,99.99 
19990921,79,99.99 
19990922,76.8,99.99 
19990923,81.8, 0.00I
19990924,81.1, 0.00I
19990925,74.2,99.99 
19990926,72.5, 0.00I
19990927,78.3,99.99 
19990928,76.6, 0.75E
19990929,77, 0.00C
19990930,79.2, 0.00D
19991001,80.3, 0.00D
19991002,78.7, 0.00D
19991003,77.8, 0.00C
19991004,79.7, 0.67G
19991005,80, 0.00G
19991006,77, 1.26G
19991007,76.3, 0.43G
19991008,81.2, 0.00G
19991009,80.4, 0.00D
19991010,78.2, 0.00C
19991011,81.2, 0.00C
19991012,84.7, 0.00B
19991013,79.7, 0.04G
19991014,79.3, 0.00G
19991015,75, 0.20G
19991016,79.5, 0.00G
19991017,81.2, 0.00D
19991018,82, 0.00B
19991019,78.2, 0.00D
19991020,80.3, 0.00D
19991021,79.7, 0.00D
19991022,85, 0.00C
19991023,83.9, 0.00C
19991024,81, 0.00D
19991025,82.2, 0.00D
19991026,83.1, 0.00D
19991027,83.7, 0.00D
