ISO,EVENT_ID_CNTY,EVENT_ID_NO_CNTY,EVENT_DATE,YEAR,TIME_PRECISION,EVENT_TYPE,SUB_EVENT_TYPE,ACTOR1,ASSOC_ACTOR_1,INTER1,ACTOR2,ASSOC_ACTOR_2,INTER2,INTERACTION,REGION,COUNTRY,ADMIN1,ADMIN2,ADMIN3,LOCATION,LATITUDE,LONGITUDE,GEO_PRECISION,SOURCE,SOURCE_SCALE,NOTES,FATALITIES,TIMESTAMP
204,BEN126,126,20170323,2017,1,Protests,Peaceful protest,Protesters (Benin),FSP: Front for the Patriotic Awakening,6,,,0,60,Western Africa,Benin,Oueme,Porto-Novo,,Porto-Novo,6.483,2.617,1,Anadolu Agency; RFI,Regional-international,"A new Front called the Front for the Patriotic Awakening (FSP) gathering around 20 opposition movements and syndicates, staged sit-ins on 23 and 24 March in Porto-Novo to protest president Talon's project to revise the Constitution without popular referendum.",0,1561468964
204,BEN127,127,20170324,2017,1,Protests,Peaceful protest,Protesters (Benin),FSP: Front for the Patriotic Awakening,6,,,0,60,Western Africa,Benin,Oueme,Porto-Novo,,Porto-Novo,6.483,2.617,1,Anadolu Agency; RFI,Regional-international,"A new Front called the Front for the Patriotic Awakening (FSP) gathering around 20 opposition movements and syndicates, staged sit-ins on 23 and 24 March in Porto-Novo to protest president Talon's project to revise the Constitution without popular referendum.",0,1561468964
204,BEN128,128,20170327,2017,1,Battles,Armed clash,Fulani Ethnic Militia (Nigeria),Pastoralists (Nigeria),4,Ketou Communal Militia (Benin),,4,44,Western Africa,Benin,Plateau,Ketou,,Adakplame,7.454,2.547,1,Xinhua,International,"Clash between Nigerian herders and residents in Adakplame village, Ketou commune, left four people killed and several others seriously injured.",4,1561468964
204,BEN129,129,20170327,2017,1,Protests,Peaceful protest,Protesters (Benin),UNAMAB: National Union of Magistrates of Benin,6,,,0,60,Western Africa,Benin,Oueme,Porto-Novo,,Porto-Novo,6.483,2.617,1,24h au Benin; RFI,National-international,"Around a hundred magistrates led by their Union (UNAMAB) as well as other supporters marched in Porto-Novo to protest the president's project to review the Constitution, which they say would weaken judicial powers.",0,1561468964
204,BEN130,130,20170328,2017,1,Strategic developments,Other,Protesters (Benin),UNAMAB: National Union of Magistrates of Benin,6,,,0,60,Western Africa,Benin,Oueme,Porto-Novo,,Porto-Novo,6.483,2.617,3,RFI,National-International,Strikes: UNAMAB began a 72h strike to protest the president's project to the review the Constitution.,0,1561468964
204,BEN131,131,20170330,2017,1,Protests,Peaceful protest,Protesters (Benin),FSP: Front for the Patriotic Awakening,6,,,0,60,Western Africa,Benin,Littoral,Cotonou,,Cotonou,6.35,2.433,1,AFP,International,"More than 10,000 people led by the Front for the Patriotic Awakening (FSP), which gathers around 20 opposition movements and syndicates, marched in Cotonou to protest president Talon's project to revise the Constitution without popular referendum.",0,1561468964
204,BEN132,132,20170403,2017,1,Battles,Armed clash,Malanville Communal Militia (Benin),,4,Unidentified Communal Militia (Nigeria),,4,44,Western Africa,Benin,Alibori,Malanville,,Malanville,11.868,3.383,1,Xinhua,International,"Clash between cattle breeders from Benin and Nigeria in Benin's Malanville commune over damaging of crops, leaving one person killed and several others injured.",1,1561468964
204,BEN133,133,20170406,2017,1,Riots,Violent demonstration,Rioters (Benin),,5,Police Forces of Benin (2016-),,1,15,Western Africa,Benin,Alibori,Banikoara,,Founougo,11.478,2.531,1,Agence Benin Press,National,"Clash between residents of Founougo, Banikoara commune, protesting the killing by eco-guards of a suspected poacher, and police, left at least one protester killed and several others injured.",1,1561468964
204,BEN135,135,20170501,2017,1,Protests,Peaceful protest,Protesters (Benin),,6,,,0,60,Western Africa,Benin,Littoral,Cotonou,,Cotonou,6.35,2.433,1,Xinhua,International,Thousands of workers have woke down the streets to protest against the consociational problem-solving strategies of both the Labour Unions and the Government.,0,1561468964
204,BEN137,137,20170508,2017,1,Protests,Peaceful protest,Protesters (Benin),,6,,,0,60,Western Africa,Benin,Littoral,Cotonou,,Cotonou,6.35,2.433,1,Agence Benin Press,National,National Society of agricultural products protested against their through a sit-in,0,1561468964
